"year","make","model","mpg"
2001,"ACURA","CL",86
2001,"ACURA","EL",null
2001,"ACURA","INTEGRA",127
2001,"ACURA","MDX",91
2001,"ACURA","NSX",106
2001,"ACURA","RL",null
2001,"ACURA","TL",null
2001,"AM GENERAL","HUMMER",null
2001,"AMERICAN IRONHORSE","CLASSIC",16
2001,"AMERICAN IRONHORSE","LEGEND",null
2001,"AMERICAN IRONHORSE","OUTLAW",62
2001,"AMERICAN IRONHORSE","RANGER",null
2001,"AMERICAN IRONHORSE","SLAMMER",123
2001,"AMERICAN IRONHORSE","TEJAS",null
2001,"AMERICAN IRONHORSE","THUNDER",null
2001,"APRILIA","ATLANTIC 500",101
2001,"APRILIA","ETV 1000 CAPONORD",110
2001,"APRILIA","MOJITO CUSTOM 50",62
2001,"APRILIA","MOJITO RETRO 50",27
2001,"APRILIA","PEGASO 650",96
2001,"APRILIA","RALLY 50 (AIR COOLED)",15
2001,"APRILIA","RS 125",107
2001,"APRILIA","RS 250",null
2001,"APRILIA","RST1000 FUTURA",null
2001,"APRILIA","RSV MILLE",null
2001,"APRILIA","RSV MILLE R",29
2001,"APRILIA","SCARABEO 125",null
2001,"APRILIA","SCARABEO 150",137
2001,"APRILIA","SCARABEO 50 2T",121
2001,"APRILIA","SCARABEO 50 DITECH",null
2001,"APRILIA","SL1000 FALCO",null
2001,"ARCTIC CAT","250 2X4",null
2001,"ARCTIC CAT","250 4X4",null
2001,"ARCTIC CAT","300 2X4",100
2001,"ARCTIC CAT","300 4X4",null
2001,"ARCTIC CAT","400 2X4",14
2001,"ARCTIC CAT","400 4X4",20
2001,"ARCTIC CAT","500 4X4",null
2001,"ARCTIC CAT","500 4X4 AUTO",102
2001,"ARCTIC CAT","BEARCAT WIDETRACK",null
2001,"ARCTIC CAT","MOUNTAIN CAT 1000",null
2001,"ARCTIC CAT","MOUNTAIN CAT 500 EFI",null
2001,"ARCTIC CAT","MOUNTAIN CAT 600 EFI",40
2001,"ARCTIC CAT","MOUNTAIN CAT 600 EFI LE",null
2001,"ARCTIC CAT","MOUNTAIN CAT 600 VEV",null
2001,"ARCTIC CAT","MOUNTAIN CAT 800",135
2001,"ARCTIC CAT","MOUNTAIN CAT 800 LE",1
2001,"ARCTIC CAT","PANTERA 1000",66
2001,"ARCTIC CAT","PANTERA 580 EFI",55
2001,"ARCTIC CAT","PANTHER 370",null
2001,"ARCTIC CAT","PANTHER 440",148
2001,"ARCTIC CAT","PANTHER 440 ESR",null
2001,"ARCTIC CAT","PANTHER 550",null
2001,"ARCTIC CAT","THUNDERCAT",64
2001,"ARCTIC CAT","TRIPLE TOURING",41
2001,"ARCTIC CAT","Z 120",139
2001,"ARCTIC CAT","Z 120 SNO PRO",null
2001,"ARCTIC CAT","Z 370",null
2001,"ARCTIC CAT","Z 370 ES",127
2001,"ARCTIC CAT","Z 440",115
2001,"ARCTIC CAT","Z 440 ES",58
2001,"ARCTIC CAT","Z 440 SNO PRO",17
2001,"ARCTIC CAT","ZL 500 EFI ESR",2
2001,"ARCTIC CAT","ZL 550",36
2001,"ARCTIC CAT","ZL 550 ESR",null
2001,"ARCTIC CAT","ZL 600 EFI",null
2001,"ARCTIC CAT","ZL 600 EFI ESR",null
2001,"ARCTIC CAT","ZL 800 ESR",null
2001,"ARCTIC CAT","ZR 440 SNO PRO",null
2001,"ARCTIC CAT","ZR 500",136
2001,"ARCTIC CAT","ZR 500 EFI",18
2001,"ARCTIC CAT","ZR 500 EFI ESR",null
2001,"ARCTIC CAT","ZR 600",60
2001,"ARCTIC CAT","ZR 600 EFI",null
2001,"ARCTIC CAT","ZR 600 EFI LE",null
2001,"ARCTIC CAT","ZR 600 VEV",91
2001,"ARCTIC CAT","ZR 800",88
2001,"ARCTIC CAT","ZR 800 LE",null
2001,"ARCTIC CAT","ZRT 600",null
2001,"ARCTIC CAT","ZRT 600 LE",null
2001,"ARCTIC CAT","ZRT 800",54
2001,"ARCTIC CAT","ZRT 800 LE",149
2001,"ASTON MARTIN","DB7",62
2001,"ASTON MARTIN","VANQUISH",null
2001,"ATK","125 CC",3
2001,"ATK","250 ENDURO",null
2001,"ATK","260 ENDURO",null
2001,"ATK","50 MX",null
2001,"ATK","600 DT",89
2001,"ATK","600 MT",null
2001,"ATK","605 ENDURO",17
2001,"AUDI","A3",null
2001,"AUDI","A4",18
2001,"AUDI","A4 QUATTRO",73
2001,"AUDI","A6",78
2001,"AUDI","A6 QUATTRO",124
2001,"AUDI","A8 QUATTRO",72
2001,"AUDI","ALLROAD QUATTRO",null
2001,"AUDI","S3",62
2001,"AUDI","S4",102
2001,"AUDI","S6",117
2001,"AUDI","S8",null
2001,"AUDI","TT",119
2001,"AUDI","TT QUATTRO",51
2001,"AVANTI","II",65
2001,"BENTLEY","ARNAGE",125
2001,"BENTLEY","AZURE",143
2001,"BENTLEY","CONTINENTAL",null
2001,"BIG DOG","BOXER",130
2001,"BIG DOG","BULLDOG",null
